,"Patrick C","Heather","Bryan","Patrick T","Thomas","aaron","vanessa","greg","brian","ben","Katherine","Jonathan","Zwe","Erin","Chris","Zak","Matt","Chris","Josh","Amy","Valerie","Gary","Stephen","Jessica","Jeff"
"Alien",,,2,,5,4,,,4,,,,,,2,,,4,3,,,2,5,,4
"Avatar",4,5,5,4,2,,4,3,,3,5,4,4,4,1,5,,,4,3,2,1,4,,4
"Blade Runner",5,,,,5,4,,1,5,5,,,,,5,,,3,,3,3,1,,,5
"Braveheart",4,,5,,4,4,3,4,4,,3,4,3,4,2,5,,4,,3,4,5,5,,4
"Dodgeball",5,4,3,2,4,,4,5,3,4,5,5,3,3,3,3,,3,,4,3,4,3,,3
"Forest Gump",4,5,4,3,3,,4,5,5,5,5,5,5,5,3,5,4,5,4,4,5,4,1,4,4
"Gladiator",,5,5,,4,4,4,5,5,5,3,4,3,,3,5,,3,4,,3,3,4,,4
"Jaws",,5,4,,4,,2,3,3,1,,3,2,3,2,,,5,5,3,2,4,2,3,5
"Kazaam",2,,3,5,2,,,,1,,2,2,2,1,1,1,,,,1,1,1,,1,1
"Lord of the Rings",4,4,3,2,,5,2,3,5,2,4,4,3,4,3,4,1,4,,,5,3,5,3,3
"Napolean Dynamite",3,4,1,1,5,1,4,4,4,4,2,3,3,2,1,1,3,1,,2,5,4,2,2,3
"Old School",3,,4,5,5,,3,5,4,4,,5,4,,5,5,,4,,3,3,5,,2,3
"Pootie Tang",,,1,1,,,1,,1,1,,,2,,3,,,1,,,,,,,5
"Pulp Fiction",,,4,,4,3,,4,5,4,,5,4,,5,5,,5,,4,3,3,3,4,3
"Scarface",,4,,,5,4,4,4,,4,,4,,,3,3,,2,,,4,3,,,
"Shawshank Redemption",5,,5,,,5,,5,5,5,,,4,,4,,,4,,2,5,5,,,
"Snakes on a Plane",4,1,2,,4,,,,3,2,,,1,,3,,1,3,,2,1,2,,2,1
"Spiderman",4,3,4,4,5,3,,4,4,4,5,3,4,3,2,3,3,2,4,3,5,2,3,3,4
"Star Wars",5,5,4,5,5,3,3,5,5,5,5,5,4,3,4,5,,5,5,,5,5,5,5,5
"The Dark Knight",4,5,5,4,4,,,4,4,5,,5,5,,3,5,,4,4,4,5,,4,5,5
"The Happening",1,,,,1,,,,2,,,,1,,1,1,,,,,1,,1,,
"The Matrix",3,4,3,5,4,4,4,4,5,4,4,5,4,4,4,5,,2,5,5,4,2,5,,5
"Toy Story",4,3,3,4,4,5,4,5,5,5,5,5,4,5,3,4,4,4,4,4,5,4,4,5,5
"Village",,2,3,1,1,,2,,4,3,,,4,,3,4,,1,4,,2,,2,,2
"You Got Mail",1,,1,1,1,3,,,3,,,2,2,,,2,,1,,2,2,1,2,,2
